id1,id2
playtime_166,metacritic_12145
playtime_167,metacritic_13699
playtime_168,metacritic_13699
playtime_168,metacritic_9067
playtime_168,metacritic_5304
playtime_168,metacritic_4227
playtime_168,metacritic_11103
playtime_168,metacritic_7068
playtime_168,metacritic_2442
playtime_168,metacritic_364
playtime_168,metacritic_7511
playtime_168,metacritic_14530
playtime_169,metacritic_13699
playtime_169,metacritic_7068
playtime_169,metacritic_9067
playtime_169,metacritic_5304
playtime_169,metacritic_789
playtime_169,metacritic_4227
playtime_169,metacritic_1872
playtime_169,metacritic_14072
playtime_169,metacritic_1112
playtime_170,metacritic_13699
playtime_170,metacritic_3792
playtime_170,metacritic_6187
playtime_170,metacritic_8906
playtime_170,metacritic_4530
playtime_170,metacritic_9067
playtime_170,metacritic_14191
playtime_170,metacritic_4886
playtime_170,metacritic_3243
playtime_170,metacritic_5978
playtime_171,metacritic_13699
playtime_171,metacritic_12145
playtime_172,metacritic_10071
playtime_172,metacritic_13699
playtime_172,metacritic_10187
playtime_172,metacritic_3640
playtime_175,metacritic_8539
playtime_175,metacritic_9659
playtime_175,metacritic_45
playtime_175,metacritic_3111
playtime_175,metacritic_5284
playtime_175,metacritic_4640
playtime_175,metacritic_10952
playtime_175,metacritic_9609
playtime_175,metacritic_9433
playtime_175,metacritic_11095
playtime_176,metacritic_2441
playtime_176,metacritic_9500
playtime_176,metacritic_10831
playtime_176,metacritic_8285
playtime_176,metacritic_1769
playtime_176,metacritic_1558
playtime_176,metacritic_13700
playtime_176,metacritic_13986
playtime_176,metacritic_13641
playtime_176,metacritic_1901
playtime_177,metacritic_10278
playtime_177,metacritic_5399
playtime_177,metacritic_13260
playtime_177,metacritic_10554
playtime_177,metacritic_5533
playtime_177,metacritic_2045
playtime_182,metacritic_13736
playtime_182,metacritic_14302
playtime_182,metacritic_12669
playtime_182,metacritic_6919
playtime_182,metacritic_13742
playtime_182,metacritic_13631
playtime_182,metacritic_13712
playtime_182,metacritic_5797
playtime_182,metacritic_13846
playtime_182,metacritic_8967
playtime_183,metacritic_1206
playtime_183,metacritic_9787
playtime_183,metacritic_9243
playtime_183,metacritic_2543
playtime_184,metacritic_9787
playtime_184,metacritic_9243
playtime_184,metacritic_1206
playtime_184,metacritic_2543
playtime_185,metacritic_1206
playtime_185,metacritic_9243
playtime_185,metacritic_2543
playtime_185,metacritic_9787
playtime_186,metacritic_2543
playtime_186,metacritic_9243
playtime_186,metacritic_1206
playtime_186,metacritic_9787
playtime_186,metacritic_4587
playtime_186,metacritic_8535
playtime_186,metacritic_7156
playtime_186,metacritic_912
playtime_187,metacritic_9243
playtime_187,metacritic_1206
playtime_187,metacritic_2543
playtime_187,metacritic_9787
playtime_187,metacritic_416
playtime_188,metacritic_1927
playtime_188,metacritic_5221
playtime_189,metacritic_1927
playtime_189,metacritic_5221
playtime_189,metacritic_13898
playtime_189,metacritic_2688
playtime_189,metacritic_3318
playtime_189,metacritic_6304
playtime_190,metacritic_1927
playtime_190,metacritic_5221
playtime_190,metacritic_7005
playtime_190,metacritic_13898
playtime_190,metacritic_2688
playtime_190,metacritic_3318
playtime_191,metacritic_7199
playtime_191,metacritic_943
playtime_191,metacritic_13925
playtime_191,metacritic_14656
playtime_192,metacritic_13853
playtime_192,metacritic_9435
playtime_192,metacritic_10421
playtime_192,metacritic_12805
playtime_192,metacritic_8438
playtime_192,metacritic_4875
playtime_192,metacritic_7249
playtime_192,metacritic_13476
playtime_192,metacritic_518
playtime_192,metacritic_5151
playtime_194,metacritic_10188
playtime_194,metacritic_227
playtime_194,metacritic_10553
playtime_194,metacritic_261
playtime_194,metacritic_11246
playtime_194,metacritic_6651
playtime_194,metacritic_2442
playtime_195,metacritic_2010
playtime_195,metacritic_1052
playtime_195,metacritic_2912
playtime_195,metacritic_2964
playtime_195,metacritic_1175
playtime_196,metacritic_14574
playtime_196,metacritic_8232
playtime_196,metacritic_12600
playtime_196,metacritic_479
playtime_196,metacritic_6056
playtime_196,metacritic_9266
playtime_196,metacritic_6117
playtime_196,metacritic_9198
playtime_196,metacritic_4269
playtime_196,metacritic_10940
playtime_197,metacritic_13809
playtime_197,metacritic_13764
playtime_197,metacritic_11325
playtime_197,metacritic_11224
playtime_197,metacritic_2367
playtime_198,metacritic_13809
playtime_198,metacritic_13764
playtime_198,metacritic_11325
playtime_198,metacritic_11224
playtime_199,metacritic_5878
playtime_199,metacritic_2756
playtime_199,metacritic_9005
playtime_199,metacritic_6638
playtime_199,metacritic_12175
playtime_199,metacritic_7499
playtime_199,metacritic_7494
playtime_199,metacritic_6186
playtime_199,metacritic_11925
playtime_199,metacritic_7076
playtime_200,metacritic_12189
playtime_201,metacritic_12189
playtime_201,metacritic_6520
playtime_202,metacritic_14646
playtime_202,metacritic_10209
playtime_202,metacritic_13913
playtime_202,metacritic_10227
playtime_202,metacritic_8359
playtime_202,metacritic_10173
playtime_202,metacritic_4746
playtime_202,metacritic_13933
playtime_202,metacritic_12240
playtime_202,metacritic_2547
playtime_203,metacritic_9981
playtime_203,metacritic_14581
playtime_203,metacritic_10900
playtime_203,metacritic_13738
playtime_203,metacritic_11254
playtime_203,metacritic_1077
playtime_203,metacritic_10428
playtime_203,metacritic_13435
playtime_203,metacritic_747
playtime_203,metacritic_2870
playtime_205,metacritic_5221
playtime_205,metacritic_1927
playtime_206,metacritic_5221
playtime_206,metacritic_1927
playtime_207,metacritic_5221
playtime_207,metacritic_1927
playtime_207,metacritic_6721
playtime_207,metacritic_7091
playtime_207,metacritic_12786
playtime_207,metacritic_14380
playtime_207,metacritic_4382
playtime_207,metacritic_8352
playtime_207,metacritic_11241
playtime_207,metacritic_14003
playtime_208,metacritic_5221
playtime_208,metacritic_1927
playtime_208,metacritic_6721
playtime_208,metacritic_7091
playtime_208,metacritic_8352
playtime_208,metacritic_14380
playtime_209,metacritic_11155
playtime_209,metacritic_7033
playtime_209,metacritic_10256
playtime_209,metacritic_4372
playtime_209,metacritic_4383
playtime_209,metacritic_8929
playtime_209,metacritic_4937
playtime_209,metacritic_1550
playtime_209,metacritic_8891
playtime_209,metacritic_5740
playtime_211,metacritic_10340
playtime_211,metacritic_13531
playtime_212,metacritic_10340
playtime_212,metacritic_13648
playtime_212,metacritic_13531
playtime_212,metacritic_13296
playtime_213,metacritic_3136
playtime_213,metacritic_12134
playtime_213,metacritic_9555
playtime_213,metacritic_9502
playtime_213,metacritic_8596
playtime_215,metacritic_9435
playtime_215,metacritic_13853
playtime_215,metacritic_6160
playtime_215,metacritic_10421
playtime_215,metacritic_7249
playtime_215,metacritic_10241
playtime_215,metacritic_9295
playtime_215,metacritic_14471
playtime_215,metacritic_8510
playtime_215,metacritic_6209
playtime_218,metacritic_681
playtime_218,metacritic_12593
playtime_220,metacritic_17
playtime_220,metacritic_7242
playtime_220,metacritic_4001
playtime_220,metacritic_3323
playtime_220,metacritic_7216
playtime_221,metacritic_11253
playtime_221,metacritic_11869
playtime_221,metacritic_3655
playtime_221,metacritic_5086
playtime_221,metacritic_5095
playtime_221,metacritic_5098
playtime_221,metacritic_65
playtime_221,metacritic_10063
playtime_221,metacritic_5318
playtime_221,metacritic_13053
playtime_222,metacritic_11253
playtime_222,metacritic_11869
playtime_222,metacritic_5098
playtime_222,metacritic_5086
playtime_222,metacritic_87
playtime_222,metacritic_5318
playtime_222,metacritic_3655
playtime_222,metacritic_13053
playtime_222,metacritic_5135
playtime_222,metacritic_5472
playtime_223,metacritic_11869
playtime_223,metacritic_11253
playtime_223,metacritic_65
playtime_223,metacritic_10063
playtime_223,metacritic_5095
playtime_223,metacritic_7915
playtime_224,metacritic_11869
playtime_224,metacritic_11253
playtime_224,metacritic_65
playtime_224,metacritic_5095
playtime_224,metacritic_5135
playtime_224,metacritic_10063
playtime_224,metacritic_14570
playtime_224,metacritic_7915
playtime_224,metacritic_12955
playtime_224,metacritic_5635
playtime_227,metacritic_4947
playtime_227,metacritic_2802
playtime_227,metacritic_4039
playtime_227,metacritic_8693
playtime_227,metacritic_14104
playtime_227,metacritic_10164
playtime_227,metacritic_1204
playtime_227,metacritic_2113
playtime_227,metacritic_1269
playtime_227,metacritic_12773
playtime_228,metacritic_4039
playtime_228,metacritic_2802
playtime_228,metacritic_9518
playtime_228,metacritic_12773
playtime_228,metacritic_4947
playtime_228,metacritic_10164
playtime_228,metacritic_2113
playtime_228,metacritic_1204
playtime_228,metacritic_14525
playtime_228,metacritic_8278
playtime_229,metacritic_12773
playtime_229,metacritic_4039
playtime_229,metacritic_10164
playtime_229,metacritic_4947
playtime_229,metacritic_2802
playtime_229,metacritic_9518
playtime_230,metacritic_4039
playtime_230,metacritic_9518
playtime_230,metacritic_4947
playtime_230,metacritic_2722
playtime_230,metacritic_3349
playtime_230,metacritic_10877
playtime_230,metacritic_12773
playtime_230,metacritic_14525
playtime_230,metacritic_2802
playtime_230,metacritic_9596
playtime_231,metacritic_4039
playtime_231,metacritic_9518
playtime_231,metacritic_2802
playtime_231,metacritic_4947
playtime_231,metacritic_8880
playtime_231,metacritic_12773
playtime_231,metacritic_10164
playtime_231,metacritic_3349
playtime_231,metacritic_2722
playtime_231,metacritic_10877
playtime_232,metacritic_981
playtime_232,metacritic_1204
playtime_232,metacritic_1906
playtime_232,metacritic_2802
playtime_232,metacritic_2113
playtime_232,metacritic_4039
playtime_233,metacritic_2802
playtime_233,metacritic_4947
playtime_233,metacritic_4039
playtime_233,metacritic_10164
playtime_233,metacritic_1204
playtime_233,metacritic_2113
playtime_233,metacritic_8693
playtime_233,metacritic_12773
playtime_233,metacritic_1269
playtime_233,metacritic_8278
playtime_234,metacritic_9518
playtime_234,metacritic_4039
playtime_234,metacritic_12773
playtime_234,metacritic_10332
playtime_234,metacritic_9669
playtime_234,metacritic_4947
playtime_234,metacritic_13028
playtime_234,metacritic_6590
playtime_234,metacritic_1164
playtime_234,metacritic_2802
playtime_235,metacritic_1906
playtime_235,metacritic_1605
playtime_235,metacritic_10164
playtime_235,metacritic_7901
playtime_235,metacritic_2113
playtime_235,metacritic_11754
playtime_235,metacritic_10874
playtime_235,metacritic_12940
playtime_235,metacritic_13993
playtime_235,metacritic_1600
playtime_236,metacritic_10164
playtime_236,metacritic_1906
playtime_236,metacritic_7901
playtime_236,metacritic_1605
playtime_236,metacritic_12773
